emoji_grinning-face_1f600,				# 😀
emoji_grinning-face-with-big-eyes_1f603,		# 😃
emoji_grinning-face-with-smiling-eyes_1f604,		# 😄
emoji_beaming-face-with-smiling-eyes_1f601,		# 😁
emoji_grinning-squinting-face_1f606,			# 😆
emoji_grinning-face-with-sweat_1f605,			# 😅
emoji_rolling-on-the-floor-laughing_1f923,		# 🤣
emoji_face-with-tears-of-joy_1f602,			# 😂
emoji_slightly-smiling-face_1f642,			# 🙂
emoji_upside-down-face_1f643,				# 🙃
emoji_melting-face_1fae0,				# 🫠
emoji_winking-face_1f609,				# 😉
emoji_smiling-face-with-smiling-eyes_1f60a,		# 😊
emoji_smiling-face-with-halo_1f607,			# 😇
emoji_smiling-face-with-hearts_1f970,			# 🥰
emoji_smiling-face-with-heart-eyes_1f60d,		# 😍
emoji_star-struck_1f929,				# 🤩
emoji_face-blowing-a-kiss_1f618,			# 😘
emoji_kissing-face_1f617,				# 😗
emoji_smiling-face_263a,				# ☺
emoji_kissing-face-with-closed-eyes_1f61a,		# 😚
emoji_kissing-face-with-smiling-eyes_1f619,		# 😙
emoji_smiling-face-with-tear_1f972,			# 🥲
emoji_face-savoring-food_1f60b,				# 😋
emoji_face-with-tongue_1f61b,				# 😛
emoji_winking-face-with-tongue_1f61c,			# 😜
emoji_zany-face_1f92a,					# 🤪
emoji_squinting-face-with-tongue_1f61d,			# 😝
emoji_money-mouth-face_1f911,				# 🤑
emoji_smiling-face-with-open-hands_1f917,		# 🤗
emoji_face-with-hand-over-mouth_1f92d,			# 🤭
emoji_face-with-open-eyes-and-hand-over-mouth_1fae2,	# 🫢
emoji_face-with-peeking-eye_1fae3,			# 🫣
emoji_shushing-face_1f92b,				# 🤫
emoji_thinking-face_1f914,				# 🤔
emoji_saluting-face_1fae1,				# 🫡
emoji_zipper-mouth-face_1f910,				# 🤐
emoji_face-with-raised-eyebrow_1f928,			# 🤨
emoji_neutral-face_1f610,				# 😐
emoji_expressionless-face_1f611,			# 😑
emoji_face-without-mouth_1f636,				# 😶
emoji_dotted-line-face_1fae5,				# 🫥
emoji_face-in-clouds_1f636,				# 😶‍🌫️
emoji_smirking-face_1f60f,				# 😏
emoji_unamused-face_1f612,				# 😒
emoji_face-with-rolling-eyes_1f644,			# 🙄
emoji_grimacing-face_1f62c,				# 😬
emoji_face-exhaling_1f62e,				# 😮‍💨
emoji_lying-face_1f925,					# 🤥
emoji_shaking-face_1fae8,				# 🫨
emoji_⊛-head-shaking-horizontally_1f642,		# 🙂‍↔️
emoji_⊛-head-shaking-vertically_1f642,			# 🙂‍↕️
emoji_relieved-face_1f60c,				# 😌
emoji_pensive-face_1f614,				# 😔
emoji_sleepy-face_1f62a,				# 😪
emoji_drooling-face_1f924,				# 🤤
emoji_sleeping-face_1f634,				# 😴
emoji_face-with-medical-mask_1f637,			# 😷
emoji_face-with-thermometer_1f912,			# 🤒
emoji_face-with-head-bandage_1f915,			# 🤕
emoji_nauseated-face_1f922,				# 🤢
emoji_face-vomiting_1f92e,				# 🤮
emoji_sneezing-face_1f927,				# 🤧
emoji_hot-face_1f975,					# 🥵
emoji_cold-face_1f976,					# 🥶
emoji_woozy-face_1f974,					# 🥴
emoji_face-with-crossed-out-eyes_1f635,			# 😵
emoji_face-with-spiral-eyes_1f635,			# 😵‍💫
emoji_exploding-head_1f92f,				# 🤯
emoji_cowboy-hat-face_1f920,				# 🤠
emoji_partying-face_1f973,				# 🥳
emoji_disguised-face_1f978,				# 🥸
emoji_smiling-face-with-sunglasses_1f60e,		# 😎
emoji_nerd-face_1f913,					# 🤓
emoji_face-with-monocle_1f9d0,				# 🧐
emoji_confused-face_1f615,				# 😕
emoji_face-with-diagonal-mouth_1fae4,			# 🫤
emoji_worried-face_1f61f,				# 😟
emoji_slightly-frowning-face_1f641,			# 🙁
emoji_frowning-face_2639,				# ☹
emoji_face-with-open-mouth_1f62e,			# 😮
emoji_hushed-face_1f62f,				# 😯
emoji_astonished-face_1f632,				# 😲
emoji_flushed-face_1f633,				# 😳
emoji_pleading-face_1f97a,				# 🥺
emoji_face-holding-back-tears_1f979,			# 🥹
emoji_frowning-face-with-open-mouth_1f626,		# 😦
emoji_anguished-face_1f627,				# 😧
emoji_fearful-face_1f628,				# 😨
emoji_anxious-face-with-sweat_1f630,			# 😰
emoji_sad-but-relieved-face_1f625,			# 😥
emoji_crying-face_1f622,				# 😢
emoji_loudly-crying-face_1f62d,				# 😭
emoji_face-screaming-in-fear_1f631,			# 😱
emoji_confounded-face_1f616,				# 😖
emoji_persevering-face_1f623,				# 😣
emoji_disappointed-face_1f61e,				# 😞
emoji_downcast-face-with-sweat_1f613,			# 😓
emoji_weary-face_1f629,					# 😩
emoji_tired-face_1f62b,					# 😫
emoji_yawning-face_1f971,				# 🥱
emoji_face-with-steam-from-nose_1f624,			# 😤
emoji_enraged-face_1f621,				# 😡
emoji_angry-face_1f620,					# 😠
emoji_face-with-symbols-on-mouth_1f92c,			# 🤬
emoji_smiling-face-with-horns_1f608,			# 😈
emoji_angry-face-with-horns_1f47f,			# 👿
emoji_skull_1f480,					# 💀
emoji_skull-and-crossbones_2620,			# ☠
emoji_pile-of-poo_1f4a9,				# 💩
emoji_clown-face_1f921,					# 🤡
emoji_ogre_1f479,					# 👹
emoji_goblin_1f47a,					# 👺
emoji_ghost_1f47b,					# 👻
emoji_alien_1f47d,					# 👽
emoji_alien-monster_1f47e,				# 👾
emoji_robot_1f916,					# 🤖
emoji_grinning-cat_1f63a,				# 😺
emoji_grinning-cat-with-smiling-eyes_1f638,		# 😸
emoji_cat-with-tears-of-joy_1f639,			# 😹
emoji_smiling-cat-with-heart-eyes_1f63b,		# 😻
emoji_cat-with-wry-smile_1f63c,				# 😼
emoji_kissing-cat_1f63d,				# 😽
emoji_weary-cat_1f640,					# 🙀
emoji_crying-cat_1f63f,					# 😿
emoji_pouting-cat_1f63e,				# 😾
emoji_see-no-evil-monkey_1f648,				# 🙈
emoji_hear-no-evil-monkey_1f649,			# 🙉
emoji_speak-no-evil-monkey_1f64a,			# 🙊
emoji_love-letter_1f48c,				# 💌
emoji_heart-with-arrow_1f498,				# 💘
emoji_heart-with-ribbon_1f49d,				# 💝
emoji_sparkling-heart_1f496,				# 💖
emoji_growing-heart_1f497,				# 💗
emoji_beating-heart_1f493,				# 💓
emoji_revolving-hearts_1f49e,				# 💞
emoji_two-hearts_1f495,					# 💕
emoji_heart-decoration_1f49f,				# 💟
emoji_heart-exclamation_2763,				# ❣
emoji_broken-heart_1f494,				# 💔
emoji_heart-on-fire_2764,				# ❤️‍🔥
emoji_mending-heart_2764,				# ❤️‍🩹
emoji_red-heart_2764,					# ❤
emoji_pink-heart_1fa77,					# 🩷
emoji_orange-heart_1f9e1,				# 🧡
emoji_yellow-heart_1f49b,				# 💛
emoji_green-heart_1f49a,				# 💚
emoji_blue-heart_1f499,					# 💙
emoji_light-blue-heart_1fa75,				# 🩵
emoji_purple-heart_1f49c,				# 💜
emoji_brown-heart_1f90e,				# 🤎
emoji_black-heart_1f5a4,				# 🖤
emoji_grey-heart_1fa76,					# 🩶
emoji_white-heart_1f90d,				# 🤍
emoji_kiss-mark_1f48b,					# 💋
emoji_hundred-points_1f4af,				# 💯
emoji_anger-symbol_1f4a2,				# 💢
emoji_collision_1f4a5,					# 💥
emoji_dizzy_1f4ab,					# 💫
emoji_sweat-droplets_1f4a6,				# 💦
emoji_dashing-away_1f4a8,				# 💨
emoji_hole_1f573,					# 🕳
emoji_speech-balloon_1f4ac,				# 💬
emoji_eye-in-speech-bubble_1f441,			# 👁️‍🗨️
emoji_left-speech-bubble_1f5e8,				# 🗨
emoji_right-anger-bubble_1f5ef,				# 🗯
emoji_thought-balloon_1f4ad,				# 💭
emoji_zzz_1f4a4,					# 💤
emoji_waving-hand_1f44b,				# 👋
emoji_raised-back-of-hand_1f91a,			# 🤚
emoji_hand-with-fingers-splayed_1f590,			# 🖐
emoji_raised-hand_270b,					# ✋
emoji_vulcan-salute_1f596,				# 🖖
emoji_rightwards-hand_1faf1,				# 🫱
emoji_leftwards-hand_1faf2,				# 🫲
emoji_palm-down-hand_1faf3,				# 🫳
